rdf-schema#label,birthDate,birthYear,deathDate,occupation_label,occupation,Occupation_g,Actor,Politician,Athlete,deathCause_label,deathCause,Cause_of_Death_cat,title
Pat Aherne,1901-01-06,1901-01-01T00:00:00+02:00,1970-09-30,{Actor|Pat_Aherne__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Pat_Aherne__1},['actor'],True,False,False,,,,
Ramakrishna Ranga Rao of Bobbili,1901-02-20,1901-01-01T00:00:00+02:00,1978-03-10,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
R. Sugathan,1901-12-23,1901-01-01T00:00:00+02:00,1970-02-14,{Trade union|Politician|Teacher},{http://dbpedia.org/resource/Trade_union|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Teacher},['politician'],False,True,True,,,,
Richard Law 1st Baron Coleraine,1901-02-27,1901-01-01T00:00:00+02:00,1980-11-15,{Politician|Richard_Law_1st_Baron_Coleraine__1},"{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Richard_Law,_1st_Baron_Coleraine__1}",['politician'],False,True,True,,,,
David Burns (actor),{1901-06-21|1902-06-22},{1901-01-01T00:00:00+02:00|1902-01-01T00:00:00+02:00},1971-03-12,{Actor|David_Burns_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/David_Burns_(actor)__1},['actor'],True,False,False,,,,
George Stearns (politician),1901-12-17,1901-01-01T00:00:00+02:00,1979-01-01T00:00:00+02:00,,,['politician'],False,True,True,,,,
Gerrit Jan van Heuven Goedhart,1901-03-19,1901-01-01T00:00:00+02:00,1956-07-08,{Journalism|Politician|Diplomacy},{http://dbpedia.org/resource/Journalism|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Diplomacy},['politician'],False,True,True,,,,
Mitsuko Yoshikawa,1901-06-21,1901-01-01T00:00:00+02:00,1991-08-08,{Actor|Mitsuko_Yoshikawa__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mitsuko_Yoshikawa__1},['actor'],True,False,False,,,,
Ben Blue,1901-09-12,1901-01-01T00:00:00+02:00,1975-03-07,{Actor|Comedian|Ben_Blue__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Ben_Blue__1},['actor'],True,False,False,,,,
Ben Davidson (politician),1901-01-01T00:00:00+02:00,1901-01-01T00:00:00+02:00,1999-01-01T00:00:00+02:00,{Politician|Ben_Davidson_(politician)__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Ben_Davidson_(politician)__1},['politician'],False,True,True,Myasthenia gravis,http://dbpedia.org/resource/Myasthenia_gravis,Disease,
Betty Bird,{1901-01-01T00:00:00+02:00|1901-06-18},1901-01-01T00:00:00+02:00,{1998-01-01T00:00:00+02:00|1998-03-04},{Actor|Betty_Bird__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Betty_Bird__1},['actor'],True,False,False,,,,
Brian Donlevy,1901-02-09,1901-01-01T00:00:00+02:00,1972-04-05,{Actor|Brian_Donlevy__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Brian_Donlevy__1},['actor'],True,False,False,,,,
Vasili Kuznetsov (politician),1901-02-13,1901-01-01T00:00:00+02:00,1990-06-05,,,['politician'],False,True,True,,,,
Vittorio De Sica,1901-07-07,1901-01-01T00:00:00+02:00,1974-11-13,{Actor|Film director|Vittorio_De_Sica__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Vittorio_De_Sica__1},['actor'],True,False,False,,,,
Jester Hairston,1901-07-09,1901-01-01T00:00:00+02:00,2000-01-18,{Arrangement|Actor|Songwriter|Composer|Jester_Hairston__1},{http://dbpedia.org/resource/Arrangement|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Songwriter|http://dbpedia.org/resource/Composer|http://dbpedia.org/resource/Jester_Hairston__1},"['actor', 'songwriter']",True,False,False,,,,
Jim Chalmers (New South Wales politician),1901-01-28,1901-01-01T00:00:00+02:00,1986-11-11,,,['politician'],False,True,True,,,,
Joanna Roos,1901-01-11,1901-01-01T00:00:00+02:00,1989-05-13,{Actor|Playwright},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Playwright},['actor'],True,False,False,,,,
Allyn Joslyn,1901-07-21,1901-01-01T00:00:00+02:00,1981-01-21,{Actor|Allyn_Joslyn__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Allyn_Joslyn__1},['actor'],True,False,False,,,,
Andrei Kostrichkin,1901-08-24,1901-01-01T00:00:00+02:00,1973-02-28,{Actor|Andrei_Kostrichkin__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Andrei_Kostrichkin__1},['actor'],True,False,False,,,,
Andrews Engelmann,{1901-01-01T00:00:00+02:00|1901-03-23},1901-01-01T00:00:00+02:00,{1992-01-01T00:00:00+02:00|1992-02-25},{Actor|Andrews_Engelmann__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Andrews_Engelmann__1},['actor'],True,False,False,,,,
Lee Strasberg,1901-11-17,1901-01-01T00:00:00+02:00,1982-02-17,{Actor|Theatre director|Lee_Strasberg__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Theatre_director|http://dbpedia.org/resource/Lee_Strasberg__1},['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
Lester Johnson (politician),1901-06-16,1901-01-01T00:00:00+02:00,1975-07-24,,,['politician'],False,True,True,,,,
Llewellyn Rees,1901-06-18,1901-01-01T00:00:00+02:00,1994-01-07,{Actor|Llewellyn_Rees__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Llewellyn_Rees__1},['actor'],True,False,False,,,,
Frank Chester (politician),1901-11-30,1901-01-01T00:00:00+02:00,1966-08-13,,,['politician'],False,True,True,,,,
Martin Walker (actor),1901-07-27,1901-01-01T00:00:00+02:00,1955-09-18,Martin_Walker_(actor)__1,http://dbpedia.org/resource/Martin_Walker_(actor)__1,['actor'],True,False,False,,,,
Maurice Evans (actor),1901-06-03,1901-01-01T00:00:00+02:00,1989-03-12,Maurice_Evans_(actor)__1,http://dbpedia.org/resource/Maurice_Evans_(actor)__1,['actor'],True,False,False,,,,
Maurice Lalonde (politician),1901-08-24,1901-01-01T00:00:00+02:00,1956-06-02,,,['politician'],False,True,True,,,,
Merle Tottenham,1901-01-22,1901-01-01T00:00:00+02:00,1958-07-18,{Actor|Merle_Tottenham__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Merle_Tottenham__1},['actor'],True,False,False,,,,
Nino Besozzi,1901-02-06,1901-01-01T00:00:00+02:00,1971-02-02,{Actor|Nino_Besozzi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Nino_Besozzi__1},['actor'],True,False,False,,,,
Ian Wilson (actor),1901-07-02,1901-01-01T00:00:00+02:00,1987-01-01T00:00:00+02:00,Ian_Wilson_(actor)__1,http://dbpedia.org/resource/Ian_Wilson_(actor)__1,['actor'],True,False,False,,,,
Ian Wood (politician),1901-01-31,1901-01-01T00:00:00+02:00,1992-01-07,,,['politician'],False,True,True,,,,
Cliff Lyons (actor),1901-07-01,1901-01-01T00:00:00+02:00,1974-01-06,{Stunt performer|Actor|Cliff_Lyons_(actor)__1|Cliff_Lyons_(actor)__2},{http://dbpedia.org/resource/Stunt_performer|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Cliff_Lyons_(actor)__1|http://dbpedia.org/resource/Cliff_Lyons_(actor)__2},['actor'],True,False,False,,,,
Safet Butka,1901-08-10,1901-01-01T00:00:00+02:00,1943-09-19,{Politician|Resistance movement|Teacher},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Resistance_movement|http://dbpedia.org/resource/Teacher},['politician'],False,True,True,,,,
Adelaide Hall,1901-10-20,1901-01-01T00:00:00+02:00,1993-11-07,{Dance|Actor|Singing},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,False,,,,
Carmen Boni,1901-04-08,1901-01-01T00:00:00+02:00,1963-11-19,{Actor|Carmen_Boni__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Carmen_Boni__1},['actor'],True,False,False,,,,
William Stevenson (New Zealand politician),1901-01-01T00:00:00+02:00,1901-01-01T00:00:00+02:00,1983-01-01T00:00:00+02:00,,,['politician'],False,True,True,,,,
William Steward (UK politician),1901-04-20,1901-01-01T00:00:00+02:00,1987-01-01T00:00:00+02:00,,,['politician'],False,True,True,,,,
Willy Fritsch,1901-01-27,1901-01-01T00:00:00+02:00,1973-07-13,{Actor|Willy_Fritsch__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Willy_Fritsch__1},['actor'],True,False,False,,,,
Colin Campbell (Ontario politician),1901-01-17,1901-01-01T00:00:00+02:00,1978-12-25,,,['politician'],False,True,True,,,,
John O'Sullivan (Cork politician),1901-06-08,1901-01-01T00:00:00+02:00,1990-02-28,,,['politician'],False,True,True,,,,
John Roxburgh (politician),1901-02-14,1901-01-01T00:00:00+02:00,1975-02-27,,,['politician'],False,True,True,,,,
John Strachey (politician),1901-10-21,1901-01-01T00:00:00+02:00,1963-07-15,,,['politician'],False,True,True,,,,
John War Eagle,1901-06-08,1901-01-01T00:00:00+02:00,{1991-01-01T00:00:00+02:00|1991-02-07},{Actor|John_War_Eagle__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/John_War_Eagle__1},['actor'],True,False,False,,,,
José Bohr,1901-09-03,1901-01-01T00:00:00+02:00,1994-05-29,{Actor|Film director|Screenwriter|Film producer|Jos%C3%A9_Bohr__1|Jos%C3%A9_Bohr__2|Jos%C3%A9_Bohr__3|Jos%C3%A9_Bohr__4},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Jos%C3%A9_Bohr__1|http://dbpedia.org/resource/Jos%C3%A9_Bohr__2|http://dbpedia.org/resource/Jos%C3%A9_Bohr__3|http://dbpedia.org/resource/Jos%C3%A9_Bohr__4},['actor'],True,False,False,,,,
Kenneth MacDonald (American actor),1901-09-08,1901-01-01T00:00:00+02:00,1972-05-05,,,['actor'],True,False,False,,,,
Kim Peacock,1901-03-24,1901-01-01T00:00:00+02:00,1966-12-26,{Actor|Kim_Peacock__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kim_Peacock__1},['actor'],True,False,False,,,,
Jack Ingram (actor),1902-11-15,1902-01-01T00:00:00+02:00,1969-02-20,,,['actor'],True,False,False,,,,
Elise Cavanna,1902-01-30,1902-01-01T00:00:00+02:00,1963-05-12,{Dance|Actor|Elise_Cavanna__1},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Elise_Cavanna__1},['actor'],True,False,False,,,,
Enzo Turco,1902-01-01T00:00:00+02:00,1902-01-01T00:00:00+02:00,1983-07-07,{Actor|Enzo_Turco__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Enzo_Turco__1},['actor'],True,False,False,,,,
Erminio Macario,1902-05-27,1902-01-01T00:00:00+02:00,1980-03-25,{Actor|Erminio_Macario__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Erminio_Macario__1},['actor'],True,False,False,,,,
Thomas Cook (English politician),1902-06-12,1902-01-01T00:00:00+02:00,1970-08-12,,,['politician'],False,True,True,,,,
Tom Price (British politician),1902-10-09,1902-01-01T00:00:00+02:00,1973-02-01,,,['politician'],False,True,True,,,,
Lyubov Orlova,1902-01-29,1902-01-01T00:00:00+02:00,1975-01-26,{Dance|Pianist|Actor|Singing|Lyubov_Orlova__1},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Pianist|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Lyubov_Orlova__1},"['actor', 'sing']",True,False,False,Pancreatic cancer,http://dbpedia.org/resource/Pancreatic_cancer,Disease,
Grete Reinwald,{1902-01-01T00:00:00+02:00|1902-05-25},1902-01-01T00:00:00+02:00,{1983-01-01T00:00:00+02:00|1983-05-24},{Actor|Stage|Grete_Reinwald__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Stage|http://dbpedia.org/resource/Grete_Reinwald__1},['actor'],True,False,False,,,,
Yitzhak Yitzhaky (politician born 1902),1902-10-11,1902-01-01T00:00:00+02:00,1955-09-21,,,['politician'],False,True,True,,,,
Youssef Wahbi,1902-07-17,1902-01-01T00:00:00+02:00,1982-10-17,{Actor|Film director|Youssef_Wahbi__1|Youssef_Wahbi__2|Youssef_Wahbi__3},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Youssef_Wahbi__1|http://dbpedia.org/resource/Youssef_Wahbi__2|http://dbpedia.org/resource/Youssef_Wahbi__3},['actor'],True,False,False,,,,
Friedrich Domin,1902-05-15,1902-01-01T00:00:00+02:00,1961-12-18,{Actor|Friedrich_Domin__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Friedrich_Domin__1},['actor'],True,False,False,,,,
Ganjirō Nakamura,1902-02-17,1902-01-01T00:00:00+02:00,1983-04-13,{Actor|Ganjir%C5%8D_Nakamura__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ganjir%C5%8D_Nakamura__1},['actor'],True,False,False,,,,
Paul Guilfoyle (actor born in 1902),1902-07-14,1902-01-01T00:00:00+02:00,1961-06-27,Paul_Guilfoyle_(actor_born_in_1902)__1,http://dbpedia.org/resource/Paul_Guilfoyle_(actor_born_in_1902)__1,['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
Paul Powell (politician),1902-01-21,1902-01-01T00:00:00+02:00,1970-10-10,,,['politician'],False,True,True,,,,
Per Buckhøj,1902-02-10,1902-01-01T00:00:00+02:00,1964-10-21,{Actor|Per_Buckh%C3%B8j__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Per_Buckh%C3%B8j__1},['actor'],True,False,False,,,,
Dorsey B. Hardeman,1902-12-11,1902-01-01T00:00:00+02:00,1992-08-11,{Business|Politician|Ranch},{http://dbpedia.org/resource/Business|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Ranch},['politician'],False,True,True,,,,
Rosalie King,1902-08-23,1902-01-01T00:00:00+02:00,1997-09-11,{Actor|Singing|Rosalie_King__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Rosalie_King__1},"['actor', 'sing']",True,False,False,,,,
Ryūnosuke Tsukigata,1902-03-18,1902-01-01T00:00:00+02:00,1970-08-30,{Actor|Ry%C5%ABnosuke_Tsukigata__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ry%C5%ABnosuke_Tsukigata__1},['actor'],True,False,False,,,,
Michael Whalen (actor),1902-06-30,1902-01-01T00:00:00+02:00,1974-04-14,Michael_Whalen_(actor)__1,http://dbpedia.org/resource/Michael_Whalen_(actor)__1,['actor'],True,False,False,,,,
Tommy Armstrong (New Zealand politician),1902-05-17,1902-01-01T00:00:00+02:00,1980-11-21,,,['politician'],False,True,True,,,,
Tyrell Davis,1902-09-29,1902-01-01T00:00:00+02:00,1970-12-08,{Actor|Tyrell_Davis__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tyrell_Davis__1},['actor'],True,False,False,,,,
Ureo Egawa,1902-05-07,1902-01-01T00:00:00+02:00,1970-05-20,{Actor|Ureo_Egawa__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ureo_Egawa__1},['actor'],True,False,False,,,,
Sidney Skolsky,{1902-05-02|1905-05-02},1905-01-01T00:00:00+02:00,1983-05-03,{Actor|Screenwriter|Radio broadcasting|Gossip columnist|Film producer},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Radio_broadcasting|http://dbpedia.org/resource/Gossip_columnist|http://dbpedia.org/resource/Film_producer},['actor'],True,False,False,,,,
Sir Lancelot (singer),1902-03-24,1902-01-01T00:00:00+02:00,2001-03-12,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,False,,,,
Smith Ballew,1902-01-21,1902-01-01T00:00:00+02:00,1984-05-02,{Orchestra|Actor|Musician|Singing},{http://dbpedia.org/resource/Orchestra|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Singing},"['actor', 'musician', 'sing', 'athlete']",True,False,False,,,,
Harold Goodwin (American actor),1902-12-01,1902-01-01T00:00:00+02:00,1987-07-12,,,['actor'],True,False,False,,,,
Harold Jackson (Australian politician),1902-11-12,1902-01-01T00:00:00+02:00,1980-06-24,,,['politician'],False,True,True,,,,
Harry Wahl (politician),1902-12-14,1902-01-01T00:00:00+02:00,1975-04-01,,,['politician'],False,True,True,,,,
Heinrich Schmidt (politician),1902-12-13,1902-01-01T00:00:00+02:00,1960-12-20,,,['politician'],False,True,True,,,,
Heinz Rühmann,1902-03-07,1902-01-01T00:00:00+02:00,1994-10-03,{Actor|Film director|Heinz_R%C3%BChmann__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Heinz_R%C3%BChmann__1},['actor'],True,False,False,,,,
Larry Fine,1902-10-05,1902-01-01T00:00:00+02:00,1975-01-24,{Actor|Comedian|Larry_Fine__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Larry_Fine__1},['actor'],True,False,False,Stroke,http://dbpedia.org/resource/Stroke,Disease,
Mantan Moreland,1902-09-03,1902-01-01T00:00:00+02:00,1973-09-28,{Actor|Comedian|Mantan_Moreland__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Mantan_Moreland__1},['actor'],True,False,False,,,,
Manuel Barbeyto,1902-03-20,1902-01-01T00:00:00+02:00,1979-10-26,{Actor|Manuel_Barbeyto__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Manuel_Barbeyto__1},['actor'],True,False,False,,,,
Marion Mack,1902-04-08,1902-01-01T00:00:00+02:00,1989-05-01,{Real estate broker|Actor|Screenwriter|Marion_Mack__1},{http://dbpedia.org/resource/Real_estate_broker|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Marion_Mack__1},['actor'],True,False,False,Heart failure,http://dbpedia.org/resource/Heart_failure,Disease,
James Arnold (Australian politician),1902-04-12,1902-01-01T00:00:00+02:00,1967-10-29,,,['politician'],False,True,True,,,,
James Dillon (Fine Gael politician),1902-09-26,1902-01-01T00:00:00+02:00,1986-02-10,,,['politician'],False,True,True,,,,
Jan Kiepura,1902-05-16,1902-01-01T00:00:00+02:00,1966-08-15,{Actor|Singing|Jan_Kiepura__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Jan_Kiepura__1},"['actor', 'sing']",True,False,False,,,,
Eduard Franz,1902-10-31,1902-01-01T00:00:00+02:00,1983-02-10,{Actor|Eduard_Franz__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eduard_Franz__1},['actor'],True,False,False,,,,
Edward Eliscu,1902-04-02,1902-01-01T00:00:00+02:00,1998-06-18,{Actor|Songwriter|Edward_Eliscu__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Songwriter|http://dbpedia.org/resource/Edward_Eliscu__1},"['actor', 'songwriter']",True,False,False,,,,
Johan Andersen (politician),1902-05-05,1902-01-01T00:00:00+02:00,1968-05-11,,,['politician'],False,True,True,,,,
John Baker White (British politician),1902-08-12,1902-01-01T00:00:00+02:00,1988-12-10,,,['politician'],False,True,True,,,,
John Elfström,1902-04-20,1902-01-01T00:00:00+02:00,1981-03-27,{Actor|John_Elfstr%C3%B6m__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/John_Elfstr%C3%B6m__1},['actor'],True,False,False,,,,
Kálmán Latabár,1902-11-24,1902-01-01T00:00:00+02:00,1970-01-12,{Actor|Comedian|K%C3%A1lm%C3%A1n_Latab%C3%A1r__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/K%C3%A1lm%C3%A1n_Latab%C3%A1r__1},['actor'],True,False,False,,,,
Kajirō Yamamoto,1902-03-15,1902-01-01T00:00:00+02:00,1974-09-21,{Actor|Film director|Screenwriter|Kajir%C5%8D_Yamamoto__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Kajir%C5%8D_Yamamoto__1},['actor'],True,False,False,,,,
Anthony Ireland (actor),1902-02-04,1902-01-01T00:00:00+02:00,1957-12-04,,,['actor'],True,False,False,,,,
Anthony Nicholls (actor),1902-10-16,1902-01-01T00:00:00+02:00,1977-02-22,,,['actor'],True,False,False,,,,
Art Fowler (actor),1902-01-01T00:00:00+02:00,1902-01-01T00:00:00+02:00,1953-04-04,,,['actor'],True,False,False,,,,
Pál Jávor (actor),1902-01-21,1902-01-01T00:00:00+02:00,1959-08-14,,,['actor'],True,False,False,,,,
Richard Alexander (actor),1902-01-01T00:00:00+02:00,1902-01-01T00:00:00+02:00,1989-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,
Phillips Lord,1902-07-13,1902-01-01T00:00:00+02:00,1975-10-19,{Actor|Phillips_Lord__1|Phillips_Lord__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Phillips_Lord__1|http://dbpedia.org/resource/Phillips_Lord__2},['actor'],True,False,False,,,,
Piet Lieftinck,1902-09-30,1902-01-01T00:00:00+02:00,1989-07-09,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
Alexander Engel,1902-06-04,1902-01-01T00:00:00+02:00,1968-07-25,{Actor|Alexander_Engel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Alexander_Engel__1},['actor'],True,False,False,,,,
